"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"450",0.64,1,"conj","M1",14822224.0805996,"1","M"
"451",0.64,1,"conj","F1",0,"1","F"
"452",0.64,1,"conj","A2",2.52634177812254,"2","A"
"453",0.64,1,"conj","M2",1.88284672232628,"2","M"
"454",0.64,1,"conj","F2",14673608.7903472,"2","F"
"455",0.64,1,"conj","C",990469055.010439,"C","C"
"456",0.65,1,"conj","A1",135744.394011114,"1","A"
"457",0.65,1,"conj","M1",14913643.5449953,"1","M"
"458",0.65,1,"conj","F1",0,"1","F"
"459",0.65,1,"conj","A2",2.58613689118984,"2","A"
"460",0.65,1,"conj","M2",1.93020299367606,"2","M"
"461",0.65,1,"conj","F2",14761787.2416036,"2","F"
"462",0.65,1,"conj","C",990288820.30305,"C","C"
"463",0.66,1,"conj","A1",136384.077759107,"1","A"
"464",0.66,1,"conj","M1",15005626.6925591,"1","M"
"465",0.66,1,"conj","F1",0,"1","F"
"466",0.66,1,"conj","A2",2.64672849357877,"2","A"
"467",0.66,1,"conj","M2",1.97828783202543,"2","M"
"468",0.66,1,"conj","F2",14850495.42381,"2","F"
"469",0.66,1,"conj","C",990107489.180856,"C","C"
"470",0.67,1,"conj","A1",137026.774784871,"1","A"
"471",0.67,1,"conj","M1",15098176.9967863,"1","M"
"472",0.67,1,"conj","F1",0,"1","F"
"473",0.67,1,"conj","A2",2.70812586842537,"2","A"
"474",0.67,1,"conj","M2",2.02711105927462,"2","M"
"475",0.67,1,"conj","F2",14939736.5172967,"2","F"
"476",0.67,1,"conj","C",989925054.975895,"C","C"
"477",0.68,1,"conj","A1",137672.499269503,"1","A"
"478",0.68,1,"conj","M1",15191297.9525495,"1","M"
"479",0.68,1,"conj","F1",0,"1","F"
"480",0.68,1,"conj","A2",2.77033840198457,"2","A"
"481",0.68,1,"conj","M2",2.07668262291335,"2","M"
"482",0.68,1,"conj","F2",15029513.7214619,"2","F"
"483",0.68,1,"conj","C",989741510.979698,"C","C"
"484",0.69,1,"conj","A1",138321.26546069,"1","A"
"485",0.69,1,"conj","M1",15284993.0762296,"1","M"
"486",0.69,1,"conj","F1",0,"1","F"
"487",0.69,1,"conj","A2",2.83337558475296,"2","A"
"488",0.69,1,"conj","M2",2.12701259758799,"2","M"
"489",0.69,1,"conj","F2",15119830.2548861,"2","F"
"490",0.69,1,"conj","C",989556850.443035,"C","C"
"491",0.7,1,"conj","A1",138973.087673016,"1","A"
"492",0.7,1,"conj","M1",15379265.9058474,"1","M"
"493",0.7,1,"conj","F1",0,"1","F"
"494",0.7,1,"conj","A2",2.89724701260376,"2","A"
"495",0.7,1,"conj","M2",2.17811118668807,"2","M"
"496",0.7,1,"conj","F2",15210689.3554461,"2","F"
"497",0.7,1,"conj","C",989371066.575675,"C","C"
