SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-high,109,1.2000000000000002,-0.36000000000000004,2.4724333802393383e-11,0.02999999999999997
pHFC_S.pB10-high,110,1.4000000000000004,-0.36000000000000004,3.918542833154948e-11,0.02999999999999997
pHFC_S.pB10-high,111,1.6000000000000005,-0.36000000000000004,6.210471860634565e-11,0.02999999999999997
pHFC_S.pB10-high,112,1.8000000000000007,-0.36000000000000004,9.842934573891031e-11,0.02999999999999997
pHFC_S.pB10-high,113,2,-0.36000000000000004,1.56e-10,0.02999999999999997
pHFC_S.pB10-high,114,2.2,-0.36000000000000004,2.472433380239338e-10,0.02999999999999997
pHFC_S.pB10-high,115,2.4000000000000004,-0.36000000000000004,3.918542833154948e-10,0.02999999999999997
pHFC_S.pB10-high,116,2.6000000000000005,-0.36000000000000004,6.210471860634565e-10,0.02999999999999997
pHFC_S.pB10-high,117,2.8000000000000007,-0.36000000000000004,9.84293457389103e-10,0.02999999999999997
pHFC_S.pB10-high,118,3,-0.36000000000000004,1.56e-9,0.02999999999999997
pHFC_S.pB10-high,119,3.2,-0.36000000000000004,2.4724333802393378e-9,0.02999999999999997
pHFC_S.pB10-high,120,3.4000000000000004,-0.36000000000000004,3.918542833154948e-9,0.02999999999999997
pHFC_S.pB10-high,121,3.6000000000000005,-0.36000000000000004,6.2104718606345645e-9,0.02999999999999997
pHFC_S.pB10-high,122,3.8000000000000007,-0.36000000000000004,9.842934573891031e-9,0.02999999999999997
pHFC_S.pB10-high,123,4,-0.36000000000000004,1.56e-8,0.02999999999999997
pHFC_S.pB10-high,124,-4,-0.34,1.5600000000000002e-16,0.04999999999999999
pHFC_S.pB10-high,125,-3.8,-0.34,2.472433380239338e-16,0.04999999999999999
pHFC_S.pB10-high,126,-3.6,-0.34,3.918542833154944e-16,0.04999999999999999
pHFC_S.pB10-high,127,-3.4,-0.34,6.210471860634559e-16,0.04999999999999999
pHFC_S.pB10-high,128,-3.2,-0.34,9.84293457389101e-16,0.04999999999999999
pHFC_S.pB10-high,129,-3,-0.34,1.5600000000000001e-15,0.04999999999999999
pHFC_S.pB10-high,130,-2.8,-0.34,2.472433380239338e-15,0.04999999999999999
pHFC_S.pB10-high,131,-2.5999999999999996,-0.34,3.918542833154948e-15,0.04999999999999999
pHFC_S.pB10-high,132,-2.4,-0.34,6.210471860634559e-15,0.04999999999999999
pHFC_S.pB10-high,133,-2.2,-0.34,9.842934573891011e-15,0.04999999999999999
pHFC_S.pB10-high,134,-2,-0.34,1.56e-14,0.04999999999999999
pHFC_S.pB10-high,135,-1.7999999999999998,-0.34,2.4724333802393382e-14,0.04999999999999999
pHFC_S.pB10-high,136,-1.5999999999999996,-0.34,3.918542833154948e-14,0.04999999999999999
pHFC_S.pB10-high,137,-1.4,-0.34,6.210471860634558e-14,0.04999999999999999
pHFC_S.pB10-high,138,-1.1999999999999997,-0.34,9.84293457389102e-14,0.04999999999999999
pHFC_S.pB10-high,139,-1,-0.34,1.5600000000000002e-13,0.04999999999999999
pHFC_S.pB10-high,140,-0.7999999999999998,-0.34,2.472433380239338e-13,0.04999999999999999
pHFC_S.pB10-high,141,-0.5999999999999996,-0.34,3.9185428331549487e-13,0.04999999999999999
pHFC_S.pB10-high,142,-0.3999999999999999,-0.34,6.210471860634558e-13,0.04999999999999999
pHFC_S.pB10-high,143,-0.19999999999999973,-0.34,9.84293457389102e-13,0.04999999999999999
pHFC_S.pB10-high,144,0,-0.34,1.56e-12,0.04999999999999999
pHFC_S.pB10-high,145,0.20000000000000018,-0.34,2.472433380239338e-12,0.04999999999999999
pHFC_S.pB10-high,146,0.40000000000000036,-0.34,3.918542833154948e-12,0.04999999999999999
pHFC_S.pB10-high,147,0.6000000000000005,-0.34,6.210471860634565e-12,0.04999999999999999
pHFC_S.pB10-high,148,0.8000000000000007,-0.34,9.842934573891032e-12,0.04999999999999999
pHFC_S.pB10-high,149,1,-0.34,1.56e-11,0.04999999999999999
pHFC_S.pB10-high,150,1.2000000000000002,-0.34,2.4724333802393383e-11,0.04999999999999999
pHFC_S.pB10-high,151,1.4000000000000004,-0.34,3.918542833154948e-11,0.04999999999999999
pHFC_S.pB10-high,152,1.6000000000000005,-0.34,6.210471860634565e-11,0.04999999999999999
pHFC_S.pB10-high,153,1.8000000000000007,-0.34,9.842934573891031e-11,0.04999999999999999
pHFC_S.pB10-high,154,2,-0.34,1.56e-10,0.04999999999999999
pHFC_S.pB10-high,155,2.2,-0.34,2.472433380239338e-10,0.04999999999999999
pHFC_S.pB10-high,156,2.4000000000000004,-0.34,3.918542833154948e-10,0.04999999999999999
pHFC_S.pB10-high,157,2.6000000000000005,-0.34,6.210471860634565e-10,0.04999999999999999
pHFC_S.pB10-high,158,2.8000000000000007,-0.34,9.84293457389103e-10,0.04999999999999999
pHFC_S.pB10-high,159,3,-0.34,1.56e-9,0.04999999999999999
pHFC_S.pB10-high,160,3.2,-0.34,2.4724333802393378e-9,0.04999999999999999
pHFC_S.pB10-high,161,3.4000000000000004,-0.34,3.918542833154948e-9,0.04999999999999999
