SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-low,258,-1.7999999999999998,-0.28,2.5516780398623935e-16,0.009999999999999953
pHFC_S.pB10-low,259,-1.5999999999999996,-0.28,4.0441371547304273e-16,0.009999999999999953
pHFC_S.pB10-low,260,-1.4,-0.28,6.409525445911307e-16,0.009999999999999953
pHFC_S.pB10-low,261,-1.1999999999999997,-0.28,1.0158413246131116e-15,0.009999999999999953
pHFC_S.pB10-low,262,-1,-0.28,1.61e-15,0.009999999999999953
pHFC_S.pB10-low,263,-0.7999999999999998,-0.28,2.551678039862394e-15,0.009999999999999953
pHFC_S.pB10-low,264,-0.5999999999999996,-0.28,4.044137154730427e-15,0.009999999999999953
pHFC_S.pB10-low,265,-0.3999999999999999,-0.28,6.409525445911306e-15,0.009999999999999953
pHFC_S.pB10-low,266,-0.19999999999999973,-0.28,1.0158413246131116e-14,0.009999999999999953
pHFC_S.pB10-low,267,0,-0.28,1.61e-14,0.009999999999999953
pHFC_S.pB10-low,268,0.20000000000000018,-0.28,2.5516780398623934e-14,0.009999999999999953
pHFC_S.pB10-low,269,0.40000000000000036,-0.28,4.0441371547304276e-14,0.009999999999999953
pHFC_S.pB10-low,270,0.6000000000000005,-0.28,6.409525445911313e-14,0.009999999999999953
pHFC_S.pB10-low,271,0.8000000000000007,-0.28,1.0158413246131127e-13,0.009999999999999953
pHFC_S.pB10-low,272,1,-0.28,1.61e-13,0.009999999999999953
pHFC_S.pB10-low,273,1.2000000000000002,-0.28,2.5516780398623937e-13,0.009999999999999953
pHFC_S.pB10-low,274,1.4000000000000004,-0.28,4.044137154730427e-13,0.009999999999999953
pHFC_S.pB10-low,275,1.6000000000000005,-0.28,6.409525445911314e-13,0.009999999999999953
pHFC_S.pB10-low,276,1.8000000000000007,-0.28,1.0158413246131127e-12,0.009999999999999953
pHFC_S.pB10-low,277,2,-0.28,1.6099999999999998e-12,0.009999999999999953
pHFC_S.pB10-low,278,2.2,-0.28,2.551678039862394e-12,0.009999999999999953
pHFC_S.pB10-low,279,2.4000000000000004,-0.28,4.044137154730427e-12,0.009999999999999953
pHFC_S.pB10-low,280,2.6000000000000005,-0.28,6.409525445911313e-12,0.009999999999999953
pHFC_S.pB10-low,281,2.8000000000000007,-0.28,1.0158413246131126e-11,0.009999999999999953
pHFC_S.pB10-low,282,3,-0.28,1.6099999999999998e-11,0.009999999999999953
