"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"482",0.68,1,"conj","F2",12651995.8606226,"2","F"
"483",0.68,1,"conj","C",994351935.541622,"C","C"
"484",0.69,1,"conj","A1",1.2187547123809,"1","A"
"485",0.69,1,"conj","M1",13046247.0200118,"1","M"
"486",0.69,1,"conj","F1",0,"1","F"
"487",0.69,1,"conj","A2",0,"2","A"
"488",0.69,1,"conj","M2",1.4014115839053,"2","M"
"489",0.69,1,"conj","F2",12695836.9222608,"2","F"
"490",0.69,1,"conj","C",994257914.437472,"C","C"
"491",0.7,1,"conj","A1",1.22225390701333,"1","A"
"492",0.7,1,"conj","M1",13096620.737013,"1","M"
"493",0.7,1,"conj","F1",0,"1","F"
"494",0.7,1,"conj","A2",0,"2","A"
"495",0.7,1,"conj","M2",1.42978038613757,"2","M"
"496",0.7,1,"conj","F2",12739829.8582379,"2","F"
"497",0.7,1,"conj","C",994163547.752624,"C","C"
"498",0.71,1,"conj","A1",1.22576314494692,"1","A"
"499",0.71,1,"conj","M1",13147188.9074689,"1","M"
"500",0.71,1,"conj","F1",0,"1","F"
"501",0.71,1,"conj","A2",0,"2","A"
"502",0.71,1,"conj","M2",1.45842720051355,"2","M"
"503",0.71,1,"conj","F2",12783975.1943726,"2","F"
"504",0.71,1,"conj","C",994068834.213876,"C","C"
"505",0.72,1,"conj","A1",1.22928245498534,"1","A"
