...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
430,0.61,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
431,0.61,1,conj,A2,0,nalR,Ancestor,Ancestor
432,0.61,1,conj,M2,1.18419830143244,nalR,Mutant,Mutant
433,0.61,1,conj,F2,12349317.1208189,nalR,Plasmid-free,Plasmid-free
435,0.62,1,conj,A1,1.19453916008723,rifR,Ancestor,Ancestor
436,0.62,1,conj,M1,12699013.2778805,rifR,Mutant,Mutant
437,0.62,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
438,0.62,1,conj,A2,0,nalR,Ancestor,Ancestor
439,0.62,1,conj,M2,1.21042403174507,nalR,Mutant,Mutant
440,0.62,1,conj,F2,12392109.6335859,nalR,Plasmid-free,Plasmid-free
442,0.63,1,conj,A1,1.19796885123664,rifR,Ancestor,Ancestor
443,0.63,1,conj,M1,12748046.5874476,rifR,Mutant,Mutant
444,0.63,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
445,0.63,1,conj,A2,0,nalR,Ancestor,Ancestor
446,0.63,1,conj,M2,1.23690993022283,nalR,Mutant,Mutant
447,0.63,1,conj,F2,12435050.3903487,nalR,Plasmid-free,Plasmid-free
